Категория,Значение
C,39.35
C,89.63
A,83.86
A,50.72
A,12.08
C,27.63
C,12.93
B,74.91
A,53.48
D,28.97
D,58.45
D,29.57
B,29.17
A,38.51
D,59.18
A,44.49
C,80.03
B,89.04
C,4.87
A,73.48
B,44.0
B,39.71
C,80.7
A,79.06
D,34.67
B,55.93
B,19.11
C,23.16
D,91.75
C,69.92
C,43.8
A,19.2
B,57.14
D,27.23
C,90.1
C,39.69
C,53.65
B,10.16
B,55.04
C,58.73
B,14.12
B,21.05
A,45.26
D,67.5
A,80.76
A,36.93
C,94.14
B,79.53
B,15.04
A,34.32
C,56.54
C,45.78
A,94.7
D,13.27
A,90.67
B,46.46
A,49.83
D,94.7
B,11.32
B,22.99
A,66.39
B,82.66
B,91.24
C,51.59
B,49.37
D,99.43
C,83.74
D,87.75
A,49.66
A,22.25
A,8.95
C,51.31
D,49.74
D,2.24
D,39.11
C,70.57
D,42.75
D,94.36
D,37.15
C,61.35
A,94.38
D,87.68
C,94.16
D,40.29
C,60.92
A,40.91
C,80.59
D,47.02
B,18.26
C,11.85
B,80.29
A,58.48
C,11.27
C,86.07
B,43.97
B,45.43
A,58.28
A,81.31
B,2.71
D,14.12
